sample,shared_reads,total_reads_EBV,total_reads_HCMV,total_reads_HHV6B,total_reads_HHV7,total_reads_HSV1_KOS,total_reads_HSV2_StrainG,total_reads_KSHV,total_reads_VZV_Ellen,total_reads_combined_herpes_viruses,unique_to_EBV,unique_to_HCMV,unique_to_HHV6B,unique_to_HHV7,unique_to_HSV1_KOS,unique_to_HSV2_StrainG,unique_to_KSHV,unique_to_VZV_Ellen,unique_to_combined_herpes_viruses,virus_1,virus_2
SRR22753387,0,,0,,,,3,,,,,0,,,,3,,,,HSV2_StrainG,HCMV
SRR22753387,0,,,,,,3,,0,,,,,,,3,,0,,HSV2_StrainG,VZV_Ellen
SRR22753387,0,0,,,,,3,,,,0,,,,,3,,,,HSV2_StrainG,EBV
SRR22753387,0,,,,0,,3,,,,,,,0,,3,,,,HSV2_StrainG,HHV7
SRR22753387,0,,,,,,3,,,164,,,,,,3,,,164,HSV2_StrainG,combined_herpes_viruses
SRR22753387,1,,,2,,,3,,,,,,1,,,2,,,,HSV2_StrainG,HHV6B
SRR22753387,0,,,,,,3,3,,,,,,,,3,3,,,HSV2_StrainG,KSHV
SRR22753387,0,,,,,169,3,,,,,,,,169,3,,,,HSV2_StrainG,HSV1_KOS
SRR22753387,0,,0,,,,,,0,,,0,,,,,,0,,HCMV,VZV_Ellen
SRR22753387,0,0,0,,,,,,,,0,0,,,,,,,,HCMV,EBV
SRR22753387,0,,0,,0,,,,,,,0,,0,,,,,,HCMV,HHV7
SRR22753387,0,,0,,,,,,,164,,0,,,,,,,164,HCMV,combined_herpes_viruses
SRR22753387,0,,0,2,,,,,,,,0,2,,,,,,,HCMV,HHV6B
SRR22753387,0,,0,,,,,3,,,,0,,,,,3,,,HCMV,KSHV
SRR22753387,0,,0,,,169,,,,,,0,,,169,,,,,HCMV,HSV1_KOS
SRR22753387,0,0,,,,,,,0,,0,,,,,,,0,,VZV_Ellen,EBV
SRR22753387,0,,,,0,,,,0,,,,,0,,,,0,,VZV_Ellen,HHV7
SRR22753387,0,,,,,,,,0,164,,,,,,,,0,164,VZV_Ellen,combined_herpes_viruses
SRR22753387,0,,,2,,,,,0,,,,2,,,,,0,,VZV_Ellen,HHV6B
SRR22753387,0,,,,,,,3,0,,,,,,,,3,0,,VZV_Ellen,KSHV
SRR22753387,0,,,,,169,,,0,,,,,,169,,,0,,VZV_Ellen,HSV1_KOS
SRR22753387,0,0,,,0,,,,,,0,,,0,,,,,,EBV,HHV7
SRR22753387,0,0,,,,,,,,164,0,,,,,,,,164,EBV,combined_herpes_viruses
SRR22753387,0,0,,2,,,,,,,0,,2,,,,,,,EBV,HHV6B
SRR22753387,0,0,,,,,,3,,,0,,,,,,3,,,EBV,KSHV
SRR22753387,0,0,,,,169,,,,,0,,,,169,,,,,EBV,HSV1_KOS
SRR22753387,0,,,,0,,,,,164,,,,0,,,,,164,HHV7,combined_herpes_viruses
SRR22753387,0,,,2,0,,,,,,,,2,0,,,,,,HHV7,HHV6B
SRR22753387,0,,,,0,,,3,,,,,,0,,,3,,,HHV7,KSHV
SRR22753387,0,,,,0,169,,,,,,,,0,169,,,,,HHV7,HSV1_KOS
SRR22753387,0,,,2,,,,,,164,,,2,,,,,,164,combined_herpes_viruses,HHV6B
SRR22753387,0,,,,,,,3,,164,,,,,,,3,,164,combined_herpes_viruses,KSHV
SRR22753387,94,,,,,169,,,,164,,,,,75,,,,70,combined_herpes_viruses,HSV1_KOS
SRR22753387,0,,,2,,,,3,,,,,2,,,,3,,,HHV6B,KSHV
SRR22753387,0,,,2,,169,,,,,,,2,,169,,,,,HHV6B,HSV1_KOS
SRR22753387,0,,,,,169,,3,,,,,,,169,,3,,,KSHV,HSV1_KOS
SRR22753387,3,,,,,,3,,,,,,,,,0,,,,HSV2_StrainG,HSV2_StrainG
